parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes,visPropVotes
tt0103484,Mad About You,1.0,1992.0,8.0,1992.0,7.527272727272727,3077,2168.25,1992,180251,1.7070640384796756,13.065466078482144
tt0103488,Martin,1.0,1992.0,5.0,1992.0,7.718518518518518,1638,1311.0,1992,180251,0.9087328225640912,9.532747885914592
tt0103491,Melrose Place,1.0,1992.0,7.0,1992.0,7.348484848484849,3005,2744.714285714286,1992,180251,1.6671197385867484,12.911699108121862
tt0103586,The Young Indiana Jones Chronicles,1.0,1992.0,2.0,1992.0,7.849999999999999,957,1857.5,1992,180251,0.5309263194101559,7.2864690997091035
tt0105929,Absolutely Fabulous,1.0,1992.0,6.0,1992.0,8.283333333333333,2157,1714.8333333333333,1992,180251,1.1966646509589405,10.939216841067465
tt0105933,The Adventures of Pete & Pete,1.0,1992.0,3.0,1992.0,8.366666666666667,1343,1253.6666666666667,1992,180251,0.7450721493916816,8.631756190901603
tt0106367,Beakman's World,1.0,1992.0,4.0,1992.0,6.833333333333333,1125,1125.0,1992,180251,0.6241296858269857,7.900187882746749
tt0172009,Hélène et les garçons,1.0,1992.0,1.0,1992.0,7.071428571428571,2003,2003.0,1992,180251,1.1112282317435132,10.54148107119447
tt0179552,The Adventures of Tintin,3.0,1992.0,3.0,1991.0,7.507692307692308,3345,3747.6666666666665,1992,180251,1.8557455991922376,13.622575377630463
tt0098749,"Beverly Hills, 90210",4.0,1993.3333333333333,10.0,1990.0,6.609677419354839,4388,3946.2,1993,272075,1.6127905908297344,12.69956924793016
tt0098765,The Case-Book of Sherlock Holmes,3.0,1993.0,3.0,1991.0,6.6,2232,2454.6666666666665,1993,272075,0.8203620325277956,9.057383907772683
tt0098800,The Fresh Prince of Bel-Air,4.0,1993.6,6.0,1990.0,7.661538461538461,16202,15259.0,1993,272075,5.954975650096481,24.40281879229627
tt0098830,In Living Color,4.0,1993.0,5.0,1990.0,6.881818181818182,1005,1078.0,1993,272075,0.3693834420656069,6.077692342210215
tt0098833,Jeeves and Wooster,4.0,1993.0,4.0,1990.0,8.033333333333333,965,1183.5,1993,272075,0.3546816135256823,5.955515204629086
tt0098837,Keeping Up Appearances,4.0,1993.75,5.0,1990.0,8.057142857142857,1315,1843.6,1993,272075,0.48332261325002296,6.952140772812523
tt0098844,Law & Order,3.0,1993.2,21.0,1990.0,7.736363636363635,5011,5263.5,1993,272075,1.841771570339061,13.571188490103072
tt0098878,Northern Exposure,4.0,1993.0,6.0,1990.0,8.2,3488,2749.0,1993,272075,1.2819994486814297,11.322541449168689
tt0098948,Wings,4.0,1993.0,8.0,1990.0,8.022727272727273,1930,2046.875,1993,272075,0.7093632270513646,8.422370373305633
tt0101050,Blossom,4.0,1993.75,5.0,1990.0,7.653571428571429,1119,1092.4,1993,272075,0.41128365340439216,6.41314005308158
tt0101069,The Commish,3.0,1993.5,5.0,1991.0,7.909090909090909,1720,1440.6,1993,272075,0.6321786272167601,7.950966150203131
tt0101081,Dinosaurs,3.0,1993.0,4.0,1991.0,7.75,2550,2208.75,1993,272075,0.9372415694201967,9.681123743761344
tt0101120,Home Improvement,3.0,1993.2857142857142,8.0,1991.0,7.5760000000000005,5115,4968.25,1993,272075,1.879996324542865,13.711295797782444
tt0101178,The Ren & Stimpy Show,3.0,1993.5,5.0,1991.0,7.4799999999999995,1043,1360.8,1993,272075,0.3833501791785353,6.1915279146470406
tt0101205,Step by Step,3.0,1993.3333333333333,7.0,1991.0,6.565217391304348,1388,1480.7142857142858,1993,272075,0.5101534503353855,7.142502714982931
tt0103352,Are You Afraid of the Dark?,3.0,1993.3333333333333,7.0,1990.0,8.86923076923077,9905,8698.714285714286,1993,272075,3.640540292198842,19.08019992609837
tt0103359,Batman: The Animated Series,2.0,1993.0,4.0,1992.0,8.25,12373,31675.0,1993,272075,4.547643113112193,21.32520366400329
tt0103376,Bottom,2.0,1993.0,3.0,1991.0,8.549999999999999,1902,1884.6666666666667,1993,272075,0.6990719470734172,8.361052248810655
tt0103405,"Dr. Quinn, Medicine Woman",1.0,1993.0,6.0,1993.0,7.758823529411765,2673,2676.1666666666665,1993,272075,0.982449692180465,9.91186002817062
tt0103428,Goof Troop,2.0,1993.0,2.0,1992.0,7.223076923076923,392,1372.0,1993,272075,0.1440779196912616,3.795759735431915
tt0103442,Highlander,2.0,1993.2,6.0,1992.0,7.831818181818182,3503,3167.3333333333335,1993,272075,1.2875126343839014,11.34686139152101
